nohup: ignoring input
Morgan connected..
(node:595298) [MONGOOSE] DeprecationWarning: Mongoose: the `strictQuery` option will be switched back to `false` by default in Mongoose 7. Use `mongoose.set('strictQuery', false);` if you want to prepare for this change. Or use `mongoose.set('strictQuery', true);` to suppress this warning.
(Use `node --trace-deprecation ...` to show where the warning was created)
Server is listening on port : 5000
(node:595298) NOTE: The AWS SDK for JavaScript (v2) has reached end-of-support.
It will no longer receive updates or releases.

Please migrate your code to use AWS SDK for JavaScript (v3).
For more information, check the blog post at https://a.co/cUPnyil
Database connected successfully
GET /api/site_settings/get-one 304 - - 3.158 ms
GET /api/user_roles/get-all-except-admin 304 - - 7.252 ms
GET /api/user/verify 401 121 - 0.216 ms
GET /api/feedbacks/get-all 200 - - 12.793 ms
GET /api/site_contents_about/get-one 200 - - 11.099 ms
GET /api/frontPage/get-all 200 - - 8.464 ms
GET /api/frontPage/home 200 - - 11.610 ms
GET /api/site_settings/get-one 304 - - 2.507 ms
GET /api/user_roles/get-all-except-admin 304 - - 2.915 ms
GET /api/frontPage/get-all 304 - - 3.144 ms
GET /api/frontPage/home 304 - - 3.846 ms
GET / 304 - - 0.246 ms
GET /api/site_settings/get-one 304 - - 2.169 ms
GET /api/env_variables/get-one?page=1&size=20 401 121 - 0.256 ms
GET /api/user_roles/get-all-except-admin 304 - - 2.792 ms
GET /api/env_variables/public?page=1&size=20 304 - - 1.351 ms
GET /api/site_settings/get-one 304 - - 4.680 ms
GET /api/user_roles/get-all-except-admin 304 - - 5.002 ms
GET /api/site_settings/get-one 304 - - 3.251 ms
GET /api/user_roles/get-all-except-admin 304 - - 3.686 ms
GET /api/frontPage/get-all 304 - - 5.866 ms
GET /api/frontPage/home 304 - - 8.952 ms
GET /api/feedbacks/get-all 304 - - 9.648 ms
GET /api/site_contents_about/get-one 304 - - 8.098 ms
GET /api/user/verify 401 121 - 0.313 ms
GET /api/site_settings/get-one 304 - - 3.264 ms
GET /api/user_roles/get-all-except-admin 304 - - 3.835 ms
GET /api/frontPage/get-all 304 - - 4.582 ms
GET /api/frontPage/home 304 - - 5.505 ms
GET / 304 - - 0.223 ms
GET /api/env_variables/get-one?page=1&size=20 401 121 - 0.227 ms
GET /api/site_settings/get-one 304 - - 6.857 ms
GET /api/user_roles/get-all-except-admin 304 - - 5.665 ms
GET /api/env_variables/public?page=1&size=20 304 - - 3.867 ms
GET /api/frontPage/home 304 - - 3.771 ms
GET /api/frontPage/get-all 304 - - 5.098 ms
GET /api/feedbacks/get-all 304 - - 7.931 ms
GET /api/site_contents_about/get-one 304 - - 6.074 ms
GET /api/user/verify 401 121 - 0.241 ms
GET /api/site_settings/get-one 304 - - 2.656 ms
GET /api/user_roles/get-all-except-admin 304 - - 3.268 ms
GET /api/frontPage/home 304 - - 4.160 ms
GET /api/frontPage/get-all 304 - - 3.214 ms
GET /api/site_settings/get-one 304 - - 3.037 ms
GET /api/user_roles/get-all-except-admin 304 - - 3.563 ms
GET /api/site_settings/get-one 304 - - 3.480 ms
GET /api/user_roles/get-all-except-admin 304 - - 3.843 ms
GET / 304 - - 0.259 ms
GET /api/site_settings/get-one 304 - - 2.120 ms
GET /api/env_variables/get-one?page=1&size=20 401 121 - 0.222 ms
GET /api/user_roles/get-all-except-admin 304 - - 4.497 ms
GET /api/env_variables/public?page=1&size=20 304 - - 2.617 ms
GET /api/site_settings/get-one 304 - - 3.718 ms
GET /api/user_roles/get-all-except-admin 304 - - 4.741 ms
GET /api/frontPage/home 304 - - 3.375 ms
GET /api/site_settings/get-one 304 - - 4.460 ms
GET /api/user_roles/get-all-except-admin 304 - - 4.733 ms
GET /api/feedbacks/get-all 304 - - 7.013 ms
GET /api/frontPage/get-all 304 - - 4.148 ms
GET /api/site_contents_about/get-one 304 - - 3.832 ms
GET /api/user/verify 401 121 - 0.233 ms
GET /api/frontPage/home 304 - - 2.849 ms
GET /api/site_settings/get-one 304 - - 3.321 ms
GET /api/user_roles/get-all-except-admin 304 - - 3.282 ms
GET /api/frontPage/get-all 304 - - 3.550 ms
GET / 304 - - 0.264 ms
GET /api/site_settings/get-one 304 - - 2.775 ms
GET /api/env_variables/get-one?page=1&size=20 401 121 - 0.260 ms
GET /api/user_roles/get-all-except-admin 304 - - 3.472 ms
GET /api/env_variables/public?page=1&size=20 304 - - 2.706 ms
GET /api/site_settings/get-one 304 - - 4.469 ms
GET /api/user_roles/get-all-except-admin 304 - - 4.860 ms
GET /api/site_settings/get-one 304 - - 5.150 ms
GET /api/user_roles/get-all-except-admin 304 - - 6.005 ms
GET /api/frontPage/home 304 - - 7.992 ms
GET /api/frontPage/get-all 304 - - 6.157 ms
GET /api/feedbacks/get-all 304 - - 8.835 ms
GET /api/site_contents_about/get-one 304 - - 6.730 ms
GET /api/user/verify 401 121 - 0.240 ms
GET /api/site_settings/get-one 304 - - 4.346 ms
GET /api/user_roles/get-all-except-admin 304 - - 4.855 ms
GET /api/frontPage/home 304 - - 5.229 ms
GET /api/frontPage/get-all 304 - - 3.350 ms
GET / 200 50 - 0.240 ms
GET /api/site_settings/get-one 200 772 - 2.398 ms
GET /api/env_variables/get-one?page=1&size=20 401 121 - 0.289 ms
GET /api/env_variables/public?page=1&size=20 200 385 - 3.076 ms
GET /api/user_roles/get-all-except-admin 200 - - 4.834 ms
GET /api/site_settings/get-one 304 - - 4.405 ms
GET /api/user_roles/get-all-except-admin 304 - - 4.822 ms
GET /api/site_settings/get-one 304 - - 2.586 ms
GET /api/frontPage/home 200 - - 4.712 ms
GET /api/user_roles/get-all-except-admin 304 - - 5.146 ms
GET /api/feedbacks/get-all 200 - - 8.323 ms
GET /api/frontPage/get-all 200 - - 7.427 ms
GET /api/site_contents_about/get-one 200 - - 2.104 ms
GET /api/site_settings/get-one 304 - - 5.959 ms
GET /api/user_roles/get-all-except-admin 304 - - 5.816 ms
GET /api/frontPage/get-all 304 - - 7.478 ms
GET /api/frontPage/home 304 - - 10.498 ms
GET /api/user/verify 401 121 - 0.206 ms
GET / 304 - - 0.216 ms
GET /api/env_variables/get-one?page=1&size=20 401 121 - 0.297 ms
GET /api/env_variables/public?page=1&size=20 304 - - 3.889 ms
GET /api/user_roles/get-all-except-admin 304 - - 4.260 ms
GET /api/site_settings/get-one 304 - - 4.141 ms
GET /api/site_settings/get-one 304 - - 2.640 ms
GET /api/user_roles/get-all-except-admin 304 - - 7.469 ms
GET /api/site_settings/get-one 304 - - 3.562 ms
GET /api/frontPage/home 304 - - 5.082 ms
GET /api/feedbacks/get-all 304 - - 5.556 ms
GET /api/frontPage/get-all 304 - - 6.348 ms
GET /api/site_contents_about/get-one 304 - - 6.718 ms
GET /api/user_roles/get-all-except-admin 304 - - 6.208 ms
GET /api/user/verify 401 121 - 0.333 ms
GET /api/site_settings/get-one 304 - - 2.502 ms
GET /api/frontPage/home 304 - - 5.530 ms
GET /api/frontPage/get-all 304 - - 5.208 ms
GET /api/user_roles/get-all-except-admin 304 - - 5.536 ms
